B 会場 1 階,開成管弦楽団文化祭演奏会,開成祭に来たからには生のオーケストラ演奏を聴かなきゃもったいない！今回はチャイコフスキーの名曲を 3 曲お送りします。部員一同ご来場お待ちしております！,,,
B 会場 1 階,大道芸、自由自在。,"今年のパフォーマンスはとにかく凄い！様々な道具をまさに "" 自由自在 "" に操る演技で、皆様の心をつかんで見せます！是非ご覧ください！",,,
B 会場 1 階,開成フェンサーズ,フェンシングは未だ日本ではメジャーな競技とは言えず、生で見たことのある方もそう多くはないと思います。ぜひこの機会に繊細な剣さばき、白熱する攻防をご覧ください。,,,
B 会場 1 階,史上最強のクイ研決定戦,他校のクイズ研究部部員を招いて、ハイレベルなクイズ対決を行います。,,,
B 会場 1 階,弁論文春,言葉を使い他人を説得する競技、ディベート。あの超有名校を招いて試合を実演します。「宿題を廃止すべき」などで繰り広げる激論の、勝敗を決めるのはあなただ！,,,
B 会場 1 階,音楽部 @ 小講堂,迫力のある吹奏楽ステージと、三輪田学園さんを迎えての混声合唱をお楽しみいただけます。各日一回の演奏です。曲間の入退場も可能なので、ぜひお越しください。,,,
B 会場 1 階,演劇部文化祭公演,演劇部です。「伝える」って、すごく難しいことですよね。その分、「伝わる」って、とんでもなく楽しい瞬間ですよね。お待ちしております。,,,
B 会場 1 階,熱闘！ 俳句甲子園 in 開成,俳句甲子園の全国大会で叶わなかった、強豪校たちの熱い試合を開成で見ることができます。ここでしか見ることのできない中学生が参加する戦いも必見です！,,,
B 会場 1 階,開成生は告らせたい,「開成生は出会いが少なくて緊急事態！」そんな彼らに彼女を作るチャンスがやってきた！彼らは女子高生との心のディスタンスを縮められるのか？,,,
B201,狙撃迷宮 in 1-7,「迷路×狙撃」ナーフ銃片手に、暗い暗い迷路を攻略しよう！ 御守り景品あります。ぜひ来てください！,,,
B202,新感覚カジノへようこそ,新感覚というのはどういうことかを文章を読んで理解しようとするあるいは理解させようとするのは愚かである。つまり B202 に来るべし。,,,
B203,画龍玉晴～ピタゴランド～,開成中学校 1 年 3 組の教室に張り巡らされたピタゴラスイッチ網を君の手で完成させよ……。　※ただの参加型のピタゴラスイッチです。,,,
B204,Escape from Kaisei castle,トンネルを抜けるとそこは雪国……ではなく、館であった。館に隠された 3 つのヒントを探し、それらを用いて館から制限時間が来る前に脱出せよ！,,,
B205,1-5 脱出ゲーム,1 年 5 組の愉快な仲間が贈る、脱出ゲームへようこそ。君はクイズを解いて無事脱出できるかな？難易度別なので誰でも楽しめます。ぜひ遊びに来てください。,,,
B206,Kaisei survival,あなたは仲間と共に教室に閉じ込められてしまった。仲間と共に三つのヒントを獲得して最後の謎を解け！ 謎解き、シューティング、クイズが楽しめるお得な脱出ゲーム。,,,
B207,浦島 Impossible,文化祭でよく見かける脱出ゲームを一味違った昔話の世界観でアレンジ。問題数は全部で 4 問。パズル問題から浦島太郎の雑学まですべてのジャンルをクリアしろ！,,,
テニスコート,Kaiser Tiger Zwei,戦車について知っていますか？多くの人が見たことすらないかと思います。この参団では実物大の戦車の砲塔の模型に乗れます！ミリタリーに知識がない人も大歓迎です！,,,
B301,開成写真館,写真部員が撮った写真の展示をしています。例年に比べて写真の枚数が多く、見ごたえあるものになったので、「少し時間が空いたな」と思った時など気軽にお越しください！,,,
B302,美術部,鉛筆、油絵、水彩などなど、部員たちが描いてきた作品たちを展示中。技巧を凝らした、大胆かつ精緻な筆づかいをぜひ感じてください。似顔絵プレゼントもしています！,,,
B303,弱くても勝てます 7th,リアル野球盤参団「弱くても勝てます」は今年でなんと 7 年目を迎えました！ 細部までとことんこだわって更なる進化を遂げた野球盤を、是非ともその目でお確かめください！,,,
B304,The Ninja Mission,数多の絡繰を潜り抜け、立ちはだかる忍者達を倒して奪われし巫女と財宝を奪還せよ。メンバー 1 人 1 人の血と汗で作られた一年間の集大成、篤とご体感あれ！,,,
B305,VS 開成生,射撃、ボードゲームなどのミニゲームで開成生と勝負しよう。果たして開成生に勝つことができるか？君たちの挑戦を待っている。勝利を掴め！,,,
B306,開成書道展,書道部の部員が丹精込めて作った作品を展示致しております。普段なかなか味わえない書の空間をお楽しみください。,,,
B306,紫雁俳句会,突然ですが、ラグビーの季語が何かわかりますか？ 実は冬の季語なんです。この参団では俳句甲子園や意外な季語の展示・解説をしています。是非、足を運んでみてください！,,,
B307,ソフィーの碁,部員たちと囲碁の対局を楽しむことができます。,,,
B307,飛車ちゅうの成人式！,将棋部ではお客様との対局を行っています。初心者の方も腕利きの方も大歓迎です！ また、部誌の無料配布もあります。将棋の奥深い世界、あなたも味わってみませんか？,,,
B311,NeXUS Next,この参団では、開成生の音ゲーマーたちが集い、制作したゲームと譜面遊ぶことが出来ます。お馴染みの曲からマニアックな曲まで取り揃えています。初心者大歓迎です！,,,
B311,サラブレッド研究同好会,2020 年三冠を達成したコントレイルの矢作芳人調教師などを輩出した当校で、「ディープ」なサラブレッドの世界の展示、VR でのジョッキー体験をお楽しみいただけます。,,,
B401,かいせいゆうえんち,ジェットコースター！ 絶叫マシンと化した教室。我々が全力で作り上げたジェットコースターを今、体感せよ！,,,
B402,ポケモンリーグ開成,今も日本に残る奇妙な世界。闇を祀る民達のもとでは希望の光は絶望へと変わる。まるで一冊のホラー小説の世界に入り込むかのように…… 新たな恐怖体験があなたを待っている。,,,
B403,暗染地帯,今も日本に残る奇妙な世界。闇を祀る民達のもとでは希望の光は絶望へと変わる。まるで一冊のホラー小説の世界に入り込むかのように…… 新たな恐怖体験があなたを待っている。,,,
B404,孤独な夜の奇妙なヒゲキ,とある夜、悲劇が起こる。この事件の真相はどこに。それを突き止められるのはあなただ！さぁ謎解き好きの皆よ集まれ！ たくさんの謎、そして恐ろしい真実が君を待っている！,,,
B405（オセアニア）,山岳部 ̶mountain boys̶,一年間の活動の様子や、山頂からの絶景写真などを紹介しています。合宿中に使っている装備や食べ物なども展示しております。ぜひお立ち寄りください。,,,
B405（オセアニア）,推しを語りたい,アトラクションも受付もなし。推しを語ることに特化した夢の場所。さあ、次元を超えた推しの世界へ。,,,
B405（オセアニア）,文芸部,部誌として部員が執筆した小説を配布しております。なお発行部数には限りが御座いますのでご了承ください。その他展示もありますのでぜひ起こし下さい。,,,
B405（オセアニア）,FOOL COOL,最初はペットボトルをゴミ箱に投げ入れることから始まった参団。開成生のかっこいい日常をぜひご覧ください,,,
B405（オセアニア）,開成斎,開成の新鋭・デザイン同好会による成果報告。部誌頒布あり。,,,
B406,飛べない蟬,分かりづらい名前ですみません、水泳部です。水泳部には 120 年以上の歴史があります。身体能力測定と合宿の映像紹介をやっていますので、是非いらして下さい！,,,
B407,折り紙研究部,日本の伝統文化である折り紙は、今もなお変化し、さらに高度な芸術作品へと進化しています。折り研も去年からさらに進化した展示でお客様をお待ちしております。,,,
B412,コンピューター部大波乱,大波乱だった今年度も、コンピューター部では部員手作りのゲームや作品の展示、部誌の配布を行っています！さらに今回は、オンラインでもいろいろ企画しています！,,,
B501,開成管弦楽団室内楽演奏会,普段オーケストラで演奏する楽団員が、少人数アンサンブルの演奏会を行います。曲目はクラシックからポップスまで幅広く！皆様に安らぎと音楽の魅力をお届けします。　※ Day1 午前のみ,,,
C101,不屈の生物部,コロナ禍にも屈しない生物部をご覧あれ。生き物について様々な展示もしています！ ぜひ特別棟入ってすぐの C101 へ。,,,
C102・202,開成模型製作所,ここでは、模型部員製作のプラモデルや代々受け継がれているレイアウトが展示されています。鉄道模型の体験運転も行っているので皆様ぜひお越しください！,,,
C201・203,物理部,物理部員が一から自作した電子ゲームや大迫力の高電圧実験を目の前で体験できます。,,,
C301,開成鉱石化石館,地質部。今年もやります！開成鉱石化石館！ 今年のテーマは「火山」と「化石」です。大人気のレプリカ作り体験も行いますので是非来てください！,,,
C401・402,大化学実験,大化学実験では、普段見られないような様々な化学実験を行っています。多くの実験を分かりやすく解説していますので、ぜひ C401・402 までお越しください！,,,
D 会場［武道場］,天道流合気道,柔道や剣道、弓道だったらイメージは湧くのに、その他の武道がどのようなものかさえ全く知らない ...... そんな埋もれた武道・合気道の面白さ、美しさをお見せします！,,,
D 会場［第 2 グラウンド］,ストラックアウト in 開成,広々としたグラウンドで体を動かせる数少ない参団。暇な時にぜひ足を運んでみてはいかが？,,,
D 会場［第 2 グラウンド］,剣もペンも強し,ペンのみならず剣までも磨きあげた剣道部員達にあなたは勝つことができるか !? 風船割り、気配斬りやってます。挑戦お待ちしています！,,,
D 会場［第 2 グラウンド］,Ms. ペリーのミステリー,待ち時間が退屈なあなた！ 第 2 グラウンドに行って謎解きキットを手に入れよう！キットいいことが起こるよ！ さあキットを片手に校内を巡ろう！,,,
E 会場（オンライン）,Letʼs talk Kaisei,開成生とお話がしたい小中高生の方へ！普段の生活、部活動、入試など、あなたの質問にZoom で開成生が答えます。さあ、お気軽に開成生と Letʼs talk ！,,,
E 会場（オンライン）,カードゲームの夜,今年もカードゲームの夜が文化祭に参戦。オリジナルカードゲームからマニアックな記事まで作りました。オンラインにてひっそりと営業中。,,,
E 会場（オンライン）,まったり TRPG 広場,インターネット上の機能を最大限活用し、経験者の方も、初めての方も TRPG を楽しんでいただけるようになっております。是非お越しください！,,,
E 会場（オンライン）,開成ピアノの会定期演奏会,「開成ピアノの会」のメンバーが、ピアノ曲をオンラインでお届けします！クラシックを中心に披露させていただきます！ぜひお聞きください！,,,
E 会場（オンライン）,開成管弦楽団特別演奏会,部員による「花のワルツ」の演奏や、音楽部と合同の「パリのアメリカ人」アンサンブルの動画を公開します！開成管弦楽団によるクラシック音楽をオンラインの世界でも！,,,
E 会場（オンライン）,開成書道展,書道部員が丹精込めて書いた作品をオンラインでご覧いただけます。文化祭に行かないと見れない作品を是非お気軽にスマホなどで お楽しみください！,,,
E 会場（オンライン）,大道芸、自由自在。,"今年のパフォーマンスはとにかく凄い！様々な道具をまさに "" 自由自在 "" に操る演技で、皆様の心をつかんで見せます！是非ご覧ください！",,,
E 会場（オンライン）,天道流合気道,知られざる合気道の魅力・美しさを。,,,
E 会場（オンライン）,飛べない蝉,分かりづらい名前ですいません、水泳部です。水泳部には 120 年以上の歴史があります。普段の部活動や合宿の映像紹介をやっていますので、是非いらして下さい！,,,
E 会場（オンライン）,飛車ちゅうの成人式！,将棋部ではお客様との対局を行っています。初心者の方も腕利きの方も大歓迎です！また、他校との対抗戦や部誌のオンライン公開もしています。是非お越しください。,,,
E 会場（オンライン）,物理部,物理部員が電子ゲームや高電圧実験を自作する様子を動画にまとめました。,,,
E 会場（オンライン）,数学研究部,今年はオンラインでの参加となりますが、更にレベルの上がったGPや入試予想問題が君を待っています。部員一同盛り上げてまいりますので、是非一度お越しください！,,,
